,c,h,res_frac,t_10
0,0.01,1.0000000000000003e-09,1.0,1.8458333333333332
1,0.01,1.04737089795945e-09,1.0,1.8458333333333332
2,0.01,1.0969857978923838e-09,1.0,1.8458333333333332
3,0.01,1.1489510001873094e-09,1.0,1.8458333333333332
4,0.01,1.2033778407775896e-09,1.0,1.8458333333333332
5,0.01,1.2603829296797278e-09,1.0,1.8458333333333332
6,0.01,1.3200884008314183e-09,1.0,1.8458333333333332
7,0.01,1.382622173764656e-09,1.0,1.8458333333333332
8,0.01,1.448118227674534e-09,1.0,1.8458333333333332
9,0.01,1.5167168884709228e-09,1.0,1.8458333333333332
10,0.01,1.588565129428053e-09,1.0,1.8458333333333332
11,0.01,1.6638168860761293e-09,1.0,1.8458333333333332
12,0.01,1.7426333860096503e-09,1.0,1.8458333333333332
13,0.01,1.8251834943190437e-09,1.0,1.8458333333333332
14,0.01,1.911644075385702e-09,1.0,1.8458333333333332
15,0.01,2.0022003718155847e-09,1.0,1.8458333333333332
16,0.01,2.0970464013232334e-09,1.0,1.8458333333333332
17,0.01,2.1963853724165465e-09,1.0,1.8458333333333332
18,0.01,2.300430119772919e-09,1.0,1.8458333333333332
19,0.01,2.409403560239525e-09,1.0,1.8458333333333332
20,0.01,2.5235391704347665e-09,1.0,1.8458333333333332
21,0.01,2.6430814869741065e-09,1.0,1.8458333333333332
22,0.01,2.7682866303920673e-09,1.0,1.8458333333333332
23,0.01,2.899422853882877e-09,1.0,1.8458333333333332
24,0.01,3.036771118035458e-09,1.0,1.8458333333333332
25,0.01,3.18062569279412e-09,1.0,1.8458333333333332
26,0.01,3.3312947879346744e-09,1.0,1.8458333333333332
27,0.01,3.4891012134067745e-09,1.0,1.8458333333333332
28,0.01,3.6543830709572574e-09,1.0,1.8458333333333332
29,0.01,3.827494478516312e-09,1.0,1.8458333333333332
30,0.01,4.0088063288984654e-09,1.0,1.8458333333333332
31,0.01,4.198707084443911e-09,1.0,1.8458333333333332
32,0.01,4.397603609302722e-09,1.0,1.8458333333333332
33,0.01,4.605922041145107e-09,1.0,1.8458333333333332
34,0.01,4.82410870416537e-09,1.0,1.8458333333333332
35,0.01,5.052631065335681e-09,1.0,1.8458333333333332
36,0.01,5.291978735958443e-09,1.0,1.8458333333333332
37,0.01,5.542664520663108e-09,1.0,1.8458333333333332
38,0.01,5.8052255160949e-09,1.0,1.8458333333333332
39,0.01,6.080224261649425e-09,1.0,1.8458333333333332
40,0.01,6.368249944718587e-09,1.0,1.8458333333333332
41,0.01,6.669919663030123e-09,1.0,1.8458333333333332
42,0.01,6.9858797467852504e-09,1.0,1.8458333333333332
43,0.01,7.316807143427197e-09,1.0,1.8458333333333332
44,0.01,7.66341086800746e-09,1.0,1.8458333333333332
45,0.01,8.026433522257176e-09,1.0,1.8458333333333332
46,0.01,8.406652885618327e-09,1.0,1.8458333333333332
47,0.01,8.804883581643467e-09,1.0,1.8458333333333332
48,0.01,9.22197882333433e-09,1.0,1.8458333333333332
49,0.01,9.658832241158706e-09,1.0,1.8458333333333332
50,0.01,1.0116379797662073e-08,1.0,1.8416666666666666
51,0.01,1.0595601792776162e-08,1.0,1.8416666666666666
52,0.01,1.1097524964120724e-08,1.0,1.8416666666666666
53,0.01,1.1623224686798526e-08,1.0,1.8416666666666666
54,0.01,1.2173827277396616e-08,1.0,1.8416666666666666
55,0.01,1.2750512407130138e-08,1.0,1.8416666666666666
56,0.01,1.3354515629298991e-08,1.0,1.8416666666666666
57,0.01,1.3987131026472389e-08,1.0,1.8416666666666666
58,0.01,1.464971398307286e-08,1.0,1.8416666666666666
59,0.01,1.534368408930013e-08,1.0,1.8416666666666666
60,0.01,1.6070528182616396e-08,1.0,1.8416666666666666
61,0.01,1.683180353330957e-08,1.0,1.8416666666666666
62,0.01,1.7629141180959484e-08,1.0,1.8416666666666666
63,0.01,1.846424942895544e-08,1.0,1.8416666666666666
64,0.01,1.9338917504552316e-08,1.0,1.8416666666666666
65,0.01,2.025501939230668e-08,1.0,1.8416666666666666
66,0.01,2.1214517849106302e-08,1.0,1.8416666666666666
67,0.01,2.2219468609395242e-08,1.0,1.8416666666666666
68,0.01,2.327202478960409e-08,1.0,1.8375
69,0.01,2.437444150122221e-08,1.0,1.8375
70,0.01,2.5529080682395182e-08,1.0,1.8375
71,0.01,2.673841615839947e-08,1.0,1.8375
72,0.01,2.8005038941836313e-08,1.0,1.8375
73,0.01,2.9331662783900444e-08,1.0,1.8375
